keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
time loop,1530,1292,548,1391,1170,62.10000000000009
thoughtful,524,489,132,48,434,62.10000000000007
saber-toothed tiger,1530,1538,1576,1391,1293,62.09999999999995
mammoth,1530,1538,1576,1391,1293,62.09999999999995
rumor,1467,1662,1576,1391,1293,61.90000000000016
japanese occupation of china,1530,1536,928,1391,1293,61.90000000000009
comedy,1530,1061,1576,1391,1056,61.800000000000054
community spirit,1530,1534,1576,1391,1293,61.700000000000166
trial,949,738,812,411,804,61.7
jungle,1414,907,1005,806,1157,61.50000000000015
chinese painting,1530,1531,1576,1391,1293,61.40000000000025
3rd century,1530,1531,1576,1391,1293,61.40000000000025
breakdance,1530,1530,1576,1391,1293,61.300000000000125
heart-throb,1530,1529,1576,1391,1293,61.20000000000009
