keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
bankruptcy,1530,1662,1576,1391,670,199.10000000000005
uber,1530,1662,1576,1391,670,199.10000000000005
family secrets,1530,1662,536,905,918,198.10000000000016
power dynamics,1530,1662,1576,1391,680,197.10000000000022
atlanta,1530,1662,1576,1361,696,196.90000000000032
summer camp,1530,1662,1576,1391,681,196.90000000000032
interpersonal relationships,1530,1662,1576,1391,682,196.70000000000016
complicated relationships,1530,1662,1576,1391,682,196.70000000000016
troubled relationships,1530,1662,1576,1391,682,196.70000000000016
relationships,1530,1662,1576,1391,682,196.70000000000016
handicap,1530,1662,1576,1391,682,196.70000000000016
adventurer,994,897,201,236,342,196.5000000000001
secret government organization,1530,1127,1101,158,1033,196.30000000000004
exorcist,1530,1662,1576,1370,695,196.2000000000001
revolution,1530,1662,662,178,1293,195.80000000000015
sweden,1530,1662,231,180,1293,195.60000000000036
family estate,1530,1662,1576,1391,689,195.30000000000015
livestream,1530,1662,1576,1366,705,194.60000000000002
prodigy,1530,1662,1576,1391,694,194.30000000000013
greek mythology,1530,1662,850,598,1092,194.00000000000006
mortality,1530,1662,1576,1391,697,193.70000000000005
political activist,1530,1662,1576,1391,698,193.50000000000006
portrait of an artist,1530,1662,1576,1391,698,193.50000000000006
erotic thriller,1337,972,1576,811,451,193.30000000000018
euphoric,1530,191,154,505,407,193.20000000000013
figure study,1530,1662,1576,1391,701,192.9000000000002
new england,1530,1662,1576,1125,834,192.89999999999998
cult,1530,1662,842,471,1164,192.30000000000018
stranded,1530,1662,1576,527,1136,192.3000000000001
vacation,1530,761,414,961,475,191.00000000000014
drunk,1530,1276,1576,1391,518,190.9000000000002
korean american,1530,1662,1576,1391,712,190.70000000000024
double agent,1530,1662,1576,232,1293,190.4000000000003
animal attack,1530,1662,1576,234,1293,190.20000000000005
empire,1530,1662,1576,1391,718,189.50000000000037
2040s,1530,1662,450,241,1293,189.50000000000006
ceo,1530,1662,1576,247,1293,188.9000000000002
apartment building,1530,1662,1576,1391,722,188.70000000000022
city life,1530,1662,1576,250,1293,188.60000000000008
usa politics,1530,1662,1576,942,949,188.20000000000016
canada,1425,1662,994,588,1023,187.80000000000013
dread,1530,1662,1576,1391,728,187.5
mentally disabled,1470,1662,1576,1391,669,187.2999999999999
mass destruction,1530,1662,1576,264,1293,187.20000000000002
serious,1530,1662,1079,267,1293,186.9000000000002
gloomy,1530,801,1576,1252,373,186.30000000000013
norse mythology,1530,1662,637,675,1092,186.29999999999998
near future,1530,1662,1576,578,1141,186.20000000000022
catastrophe,1530,1662,1576,276,1293,186.0000000000002
survive,1530,1662,1576,1391,737,185.70000000000024
forest,1145,322,101,137,309,185.7000000000001
magical creature,1530,1662,569,504,1181,185.6000000000002
russian spy,1530,1662,1576,282,1293,185.40000000000032
adopted son,1530,1662,1576,1391,739,185.30000000000015
exploration,1530,1662,1576,1391,740,185.1000000000003
family comedy,1530,1662,1576,1391,742,184.7000000000001
native american,1077,1662,785,117,927,184.50000000000017
con artist,1268,1662,341,810,772,184.40000000000018
atomic bomb test,1530,1662,1576,1391,744,184.30000000000007
monster horror,1530,1662,1576,294,1293,184.20000000000033
diving,1526,1369,1576,1391,595,184.00000000000023
sensuality,1530,1662,1576,1391,746,183.9000000000002
historical comedy,1530,1662,1576,1391,747,183.70000000000036
first love,1530,220,441,394,526,183.40000000000012
role playing game,1530,1662,1576,1391,752,182.70000000000022
heist gone wrong,1530,1662,1576,1391,754,182.30000000000007
corpse,1488,314,1576,1150,159,182.20000000000007
wizardry,1530,1662,1576,1391,756,181.90000000000032
