title,vote_average,vote_count,revenue,keywords
Carol,7.5,3861,40272135,"hotel, new year's eve, chicago, illinois, new york city, based on novel or book, parent child relationship, age difference, department store, photography, road trip, lesbian relationship, divorce, lesbian sex, lgbt, santa hat, child custody, older woman younger woman relationship, 1950s, loving, lesbian, wistful, intimate, sentimental, adoring, ambiguous, comforting, compassionate, exuberant, gentle"
The World Made Straight,5.464,56,0,"appalachia, appalachian"
Fendrich über Fendrich: Zum 60. Geburtstag,0.0,0,0,biography
Monster High: Haunted,7.4,196,0,"school, ghost"
John Mulaney: The Comeback Kid,7.716,261,0,stand-up comedy
The Curse of Downers Grove,4.7,72,0,"high school, self-defense, car mechanic, graduation, murder, curse, attempted rape, aftercreditsstinger"
The Tiger,7.706,265,11083449,"hunter, tiger, mountain, snow, japanese occupation of korea, korean tiger, amur tiger, jirisan"
Tom and Jerry: Spy Quest,6.0,62,0,"cartoon, parody, anthropomorphism, animals"
Mary Lou Williams: The Lady Who Swings the Band,8.0,2,0,"musician, jazz singer or musician, pianist, woman director"
Yongju Valley,5.7,3,0,softcore
Once and Forever,7.0,14,0,short film
Assassination,7.3,259,96119773,"assassination, independence movement, japanese invasion of korea, 1930s, korean resistance, japanese occupation of korea"
Homesick,5.3,53,0,"half-brother, love, incest, woman director, oslo, norway, dance teacher, half sister"
Marco Polo: One Hundred Eyes,7.323,130,0,"assassin, east asian lead, marco polo, 13th century"
Veteran,6.915,230,87970000,"police corruption, police chase, truck driver, buddy cop, buddy comedy, street fight, spoiled rich kid, south korea, chaebol"
The Spirit of Christmas,7.0,302,0,"holiday, ghost, christmas"
De Onde Eu Te Vejo,7.05,20,0,romance
My Life Directed by Nicolas Winding Refn,6.4,54,0,"marriage, bangkok, thailand, parenthood, filmmaking, woman director"
Crossing the Line to Broadway,7.0,2,0,"fan, broadway show, bring it on"
"Luz, Câmera, 50 Anos: Presença de Anita - O Filme",6.1,7,0,"miniseries, literary adaptation"
Branagh Theatre Live: The Winter's Tale,7.7,7,0,filmed theater
Hidden,6.902,1104,0,"helicopter, quarantine, nightmare, underground, shelter, flashback, outbreak, murder, virus, creepy doll"
The Tour,0.0,0,0,"bus, tour bus, tour"
Crown for Christmas,6.9,197,0,"princess, castle, royalty, king, governess, christmas"
Lo que vale un peine,0.0,0,0,film critic
