title,vote_average,vote_count,revenue,keywords
My Last Five Girlfriends,5.345,42,0,"depression, london, england, paris, france, based on novel or book, bachelor, ex-girlfriend, relationship problems, breaking the fourth wall, suicidal, thirty something, boyfriend girlfriend relationship, diorama, unresolved issues, memories, reminiscing, relationships, difference, fateful encounter, in-depth analysis, analyze"
My private life on the Internet,0.0,0,0,"freedom, internet, privacy, social network, information technology"
Dog Pound,7.199,385,430041,"juvenile prison, distressing, melodramatic, pessimistic"
Easy A,6.81,7195,75026327,"high school, small town, lie, loss of virginity, coming of age, teen movie, school, female protagonist, high school student, teen comedy, intelligent, duringcreditsstinger, small town girl, rumor, teen drama, pretend relationship, gay friend, teenager"
Life in Flight,5.3,14,0,"husband wife relationship, vacation, divorce, socialite, troubled marriage, woman director, marital strife, father son relationship"
The American,5.968,1444,67900000,"mission, assassin, prostitute, italy, anti hero, mexican standoff, village, sweden, melancholy, revenge, priest, mysterious, paranoid, somber, intense"
The Marriage of Figaro,6.0,1,0,opera
Lake Placid 3,5.047,256,0,"crocodile, creature, crocodile attack, animal horror"
Animal Kingdom,6.801,870,1000000,"drug dealer, heroin, trial, melbourne, australia, interrogation, armed robbery, neo-noir, murder of a police officer, female gangleader, police custody"
Barbie in A Mermaid Tale,7.2,793,16441438,"princess, surfing, surfboard, beach, magic, mermaid, surf, based on toy, female protagonist, magical creature, talking fish, female surfer, 3d animation"
As Soon As You Think Her Up,0.0,0,0,short film
The Ghost Writer,6.815,2360,60300000,"london, england, central intelligence agency (cia), based on novel or book, politics, war crimes, massachusetts, author, martha's vineyard"
Monólogos de un hombre incierto,6.0,1,0,"poetry, surrealism, color"
Sympathy for Delicious,5.7,35,13826,"disc jockey, faith healing"
Portrait Of My Father,7.3,3,0,woman director
The Boy Who Cried Werewolf,6.4,304,0,"teen movie, werewolf, family, romania, secret, teenager"
Devil,6.094,3014,33583175,"supernatural, murder, devil, trapped, sole survivor, flickering light, lights out, trapped in an elevator, broken elevator, elevator, supernatural horror, suspense, killer among us, stuck in elevator"
Ondine,6.386,341,1790061,"alcohol, mermaid, wedding dress, fishing net, selkie"
Student Services,5.292,137,0,"hotel, hotel room, jealousy, france, based on novel or book, roommates, shower, cigarette, underwear, rain, restaurant, kiss, overweight man, christmas tree, studies, tenderness, deception, family relationships, foot, teacher, old man, dress, promiscuity, crying, prostitution, university, kissing, rock band, unpaid bill, waiter, gag, misogynist, financial problem, flirting, woman director, maid uniform, money problems, college student, google"
Holiday Camp,5.8,12,0,"summer camp, lgbt, lgbt teen, truth or dare, gay theme, short film"
Fate/stay night: Unlimited Blade Works,6.835,82,3205829,"holy grail, magic, supernatural, battle, alternate version, based on video game, anime, based on visual novel, japanese high school"
Justin Time,2.5,2,0,"time travel, time, teen superhero"
Return to Manila: Filipino Cinema,0.0,0,0,"cinema on cinema, philippines"
Who Killed Captain Alex?,6.552,162,0,"africa, drug cartel, police officer killed, police raid, apologetic, awestruck"
My Father's Guests,5.9,51,0,"undocumented immigrant, dirty old man, old age romance"
Cleveland Versus Wall Street,7.4,12,0,"capitalism, cleveland, banking, wall street, lawsuit, trial, economics, financial crisis, documentary, crime documentary, historical documentary"
